data_size_kb,latency_ns
1,1.4368138
1,1.4239164
2,1.4173952
3,1.4031219
5,1.4032949
7,1.4022958
11,1.406932
17,1.4036099
25,1.4015128
38,1.4192053
57,1.4050609
86,1.405634
129,1.4029428
194,1.4020328
291,1.4020269
437,1.4031648
656,1.4133492
985,1.4170673
1477,1.4259735
2216,1.4498992
3325,1.4091861
4987,1.3906805
7481,1.3821752
11222,1.40822
16833,1.4548753
25250,1.9752045
37876,2.9386796
56814,3.3689341
85221,3.0433677
127832,3.127135
191748,4.3805406
