data_size_kb,latency_ns
1,1.2194415
1,1.2178544
2,1.2075862
3,1.2071192
5,1.2061551
7,1.2087762
11,1.2052471
17,1.2163504
25,1.3542934
38,1.8568561
57,2.2846716
86,2.5787881
129,2.8896631
194,3.1695543
291,3.8399848
437,5.8156174
656,8.2290436
985,9.6723746
1477,10.9304802
2216,11.7289365
3325,12.3553897
4987,12.9565303
7481,14.4862667
11222,38.4348351
16833,34.0930467
25250,45.403691
37876,62.0904578
56814,101.6327811
85221,100.3621462
127832,100.3865358
191748,113.2193605
