cache_level,pointer_chasing_ns,serial_ns,allocated_bytes
L1,0.97696166,0.47407754,32768
L1-L2,0.9654508,0.47159664,98304
L2,1.25407252,0.4731825,262144
L2-L3,1.55109586,0.47202916,786432
L3,8.28506166,0.73901832,33554432
RAM,50.85352332,0.78045914,134217728
